condition,category,uid,epoch,n_seeds,mean_acc,std_acc
natural_function,island_effects,adjunct_island,10,3,0.8416666666666667,0.03725885427951619
natural_function,anaphor_agreement,anaphor_gender_agreement,10,3,0.9183333333333333,0.011025223605694162
natural_function,anaphor_agreement,anaphor_number_agreement,10,3,0.9773333333333333,0.002867441755680878
natural_function,argument_structure,animate_subject_passive,10,3,0.7093333333333334,0.016679994670929035
natural_function,argument_structure,animate_subject_trans,10,3,0.8679738562091504,0.004891055407547618
natural_function,argument_structure,causative,10,3,0.765495867768595,0.006368196284058848
natural_function,island_effects,complex_NP_island,10,3,0.5456666666666667,0.009030811456096053
natural_function,island_effects,coordinate_structure_constraint_complex_left_branch,10,3,0.43066666666666664,0.009030811456096053
natural_function,island_effects,coordinate_structure_constraint_object_extraction,10,3,0.7222222222222222,0.052946631168221625
natural_function,subject_verb_agreement,distractor_agreement_relational_noun,10,3,0.5292517006802722,0.02168350673538669
natural_function,subject_verb_agreement,distractor_agreement_relative_clause,10,3,0.44884488448844884,0.010172300334932313
natural_function,argument_structure,drop_argument,10,3,0.6486486486486487,0.007233219382741924
natural_function,ellipsis,ellipsis_n_bar_1,10,3,0.741,0.013441230102437312
natural_function,ellipsis,ellipsis_n_bar_2,10,3,0.8453958545701665,0.015930286333307588
natural_function,control_raising,existential_there_object_raising,10,3,0.7312049433573635,0.021862936255531297
natural_function,control_raising,existential_there_subject_raising,10,3,0.7664127675009068,0.005052008805652548
natural_function,control_raising,expletive_it_object_raising,10,3,0.8132295719844358,0.01906217698663954
natural_function,argument_structure,inchoative,10,3,0.7197825177749896,0.012890869935108682
natural_function,argument_structure,intransitive,10,3,0.7990777338603426,0.0009316294877293063
natural_function,irregular_forms,irregular_past_participle_adjectives,10,3,0.9113333333333333,0.022881336402307325
natural_function,irregular_forms,irregular_past_participle_verbs,10,3,0.8833333333333333,0.016357125528513743
natural_function,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,3,0.692390139335477,0.009939569662910727
natural_function,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,3,0.873,0.006377042156569669
natural_function,island_effects,left_branch_island_echo_question,10,3,0.68,0.00927361849549566
natural_function,island_effects,left_branch_island_simple_question,10,3,0.39766666666666667,0.04001110956832977
natural_function,npi_licensing,npi_present_1,10,3,0.3606666666666667,0.04212943019895816
natural_function,npi_licensing,npi_present_2,10,3,0.48300000000000004,0.023338094752285723
natural_function,npi_licensing,only_npi_licensor_present,10,3,0.7213333333333334,0.038784303812524734
natural_function,npi_licensing,only_npi_scope,10,3,0.45966666666666667,0.048609555530665885
natural_function,argument_structure,passive_1,10,3,0.7200593251761216,0.0018906264418215553
natural_function,argument_structure,passive_2,10,3,0.7632743362831859,0.006513097984017571
natural_function,binding,principle_A_c_command,10,3,0.5133333333333333,0.0177451088722749
natural_function,binding,principle_A_case_1,10,3,1.0,0.0
natural_function,binding,principle_A_case_2,10,3,0.9266331658291457,0.0065133072345807475
natural_function,binding,principle_A_domain_1,10,3,0.9913333333333333,0.0012472191289246482
natural_function,binding,principle_A_domain_2,10,3,0.7283333333333333,0.01732692189115605
natural_function,binding,principle_A_domain_3,10,3,0.5953333333333333,0.010964589468932362
natural_function,binding,principle_A_reconstruction,10,3,0.4207705192629816,0.06759535970595155
natural_function,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,3,0.7687074829931972,0.012506650551598768
natural_function,subject_verb_agreement,regular_plural_subject_verb_agreement_2,10,3,0.7973333333333333,0.005792715732327594
natural_function,npi_licensing,sentential_negation_npi_licensor_present,10,3,0.9976666666666667,0.0012472191289246482
natural_function,npi_licensing,sentential_negation_npi_scope,10,3,0.32966666666666666,0.034499597421161605
natural_function,island_effects,sentential_subject_island,10,3,0.2946666666666667,0.015434449203720297
natural_function,control_raising,tough_vs_raising_1,10,3,0.5567887532371439,0.00366241026141755
natural_function,control_raising,tough_vs_raising_2,10,3,0.7595565749235474,0.011170977978748095
natural_function,argument_structure,transitive,10,3,0.6887052341597796,0.01664331401321566
natural_function,island_effects,wh_island,10,3,0.5636666666666666,0.039911012125588695
natural_function,filler_gap,wh_questions_object_gap,10,3,0.48739495798319327,0.011884147582967195
natural_function,filler_gap,wh_questions_subject_gap,10,3,0.71900826446281,0.026991622510007474
natural_function,filler_gap,wh_questions_subject_gap_long_distance,10,3,0.8176666666666667,0.010842303978193685
natural_function,filler_gap,wh_vs_that_no_gap,10,3,0.7201946472019465,0.027527271287067508
natural_function,filler_gap,wh_vs_that_no_gap_long_distance,10,3,0.945,0.0016329931618554536
natural_function,filler_gap,wh_vs_that_with_gap,10,3,0.7355072463768115,0.04194143805358777
natural_function,filler_gap,wh_vs_that_with_gap_long_distance,10,3,0.18966666666666668,0.004027681991198194
no_function,island_effects,adjunct_island,10,3,0.742,0.035580893749314425
no_function,anaphor_agreement,anaphor_gender_agreement,10,3,0.9323333333333333,0.019601587237318842
no_function,anaphor_agreement,anaphor_number_agreement,10,3,0.964,0.005715476066494087
no_function,argument_structure,animate_subject_passive,10,3,0.5326666666666667,0.00895668589502961
no_function,argument_structure,animate_subject_trans,10,3,0.7738562091503268,0.010292820750342232
no_function,argument_structure,causative,10,3,0.6091597796143251,0.0012884495133519188
no_function,island_effects,complex_NP_island,10,3,0.5103333333333333,0.019618585292749565
no_function,island_effects,coordinate_structure_constraint_complex_left_branch,10,3,0.445,0.016753109164172098
no_function,island_effects,coordinate_structure_constraint_object_extraction,10,3,0.3205128205128205,0.036637667092910796
no_function,subject_verb_agreement,distractor_agreement_relational_noun,10,3,0.4108843537414966,0.0019241000848613506
no_function,subject_verb_agreement,distractor_agreement_relative_clause,10,3,0.41089108910891087,0.011252625162529568
no_function,argument_structure,drop_argument,10,3,0.601965601965602,0.010615463879455991
no_function,ellipsis,ellipsis_n_bar_1,10,3,0.5153333333333333,0.004189935029992182
no_function,ellipsis,ellipsis_n_bar_2,10,3,0.8831124702684335,0.0037530958264313033
no_function,control_raising,existential_there_object_raising,10,3,0.7147270854788877,0.008899060347968222
no_function,control_raising,existential_there_subject_raising,10,3,0.6684802321363801,0.015651395727523696
no_function,control_raising,expletive_it_object_raising,10,3,0.7522697795071336,0.017497714089795145
no_function,argument_structure,inchoative,10,3,0.6478460895023003,0.014133622123559869
no_function,argument_structure,intransitive,10,3,0.7266139657444005,0.018702331444767295
no_function,irregular_forms,irregular_past_participle_adjectives,10,3,0.5836666666666667,0.02608107018935806
no_function,irregular_forms,irregular_past_participle_verbs,10,3,0.599,0.02046134567096376
no_function,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,3,0.5680600214362272,0.005465187045651427
no_function,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,3,0.5856666666666667,0.010338708279513891
no_function,island_effects,left_branch_island_echo_question,10,3,0.639,0.04292629341868065
no_function,island_effects,left_branch_island_simple_question,10,3,0.298,0.009626352718795776
no_function,npi_licensing,npi_present_1,10,3,0.4073333333333333,0.027145697428669777
no_function,npi_licensing,npi_present_2,10,3,0.415,0.0405709255502016
no_function,npi_licensing,only_npi_licensor_present,10,3,0.6776666666666666,0.04189935029992177
no_function,npi_licensing,only_npi_scope,10,3,0.165,0.010984838035522722
no_function,argument_structure,passive_1,10,3,0.4868372265480163,0.012330952279062552
