condition,seed,category,uid,epoch,accuracy
natural_function,42,island_effects,adjunct_island,10,0.892
natural_function,42,anaphor_agreement,anaphor_gender_agreement,10,0.905
natural_function,42,anaphor_agreement,anaphor_number_agreement,10,0.981
natural_function,42,argument_structure,animate_subject_passive,10,0.686
natural_function,42,argument_structure,animate_subject_trans,10,0.8627450980392157
natural_function,42,argument_structure,causative,10,0.7727272727272727
natural_function,42,island_effects,complex_NP_island,10,0.547
natural_function,42,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.419
natural_function,42,island_effects,coordinate_structure_constraint_object_extraction,10,0.7564102564102564
natural_function,42,subject_verb_agreement,distractor_agreement_relational_noun,10,0.5020408163265306
natural_function,42,subject_verb_agreement,distractor_agreement_relative_clause,10,0.4504950495049505
natural_function,42,argument_structure,drop_argument,10,0.6560196560196561
natural_function,42,ellipsis,ellipsis_n_bar_1,10,0.751
natural_function,42,ellipsis,ellipsis_n_bar_2,10,0.8511722731906218
natural_function,42,control_raising,existential_there_object_raising,10,0.7147270854788877
natural_function,42,control_raising,existential_there_subject_raising,10,0.7595212187159956
natural_function,42,control_raising,expletive_it_object_raising,10,0.7898832684824902
natural_function,42,argument_structure,inchoative,10,0.7176913425345044
natural_function,42,argument_structure,intransitive,10,0.7984189723320159
natural_function,42,irregular_forms,irregular_past_participle_adjectives,10,0.884
natural_function,42,irregular_forms,irregular_past_participle_verbs,10,0.906
natural_function,42,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.7009646302250804
natural_function,42,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,0.878
natural_function,42,island_effects,left_branch_island_echo_question,10,0.672
natural_function,42,island_effects,left_branch_island_simple_question,10,0.397
natural_function,42,npi_licensing,npi_present_1,10,0.321
natural_function,42,npi_licensing,npi_present_2,10,0.467
natural_function,42,npi_licensing,only_npi_licensor_present,10,0.742
natural_function,42,npi_licensing,only_npi_scope,10,0.438
natural_function,42,argument_structure,passive_1,10,0.7219132369299222
natural_function,42,argument_structure,passive_2,10,0.7699115044247787
natural_function,42,binding,principle_A_c_command,10,0.538
natural_function,42,binding,principle_A_case_1,10,1.0
natural_function,42,binding,principle_A_case_2,10,0.9236180904522613
natural_function,42,binding,principle_A_domain_1,10,0.99
natural_function,42,binding,principle_A_domain_2,10,0.738
natural_function,42,binding,principle_A_domain_3,10,0.58
natural_function,42,binding,principle_A_reconstruction,10,0.5125628140703518
natural_function,42,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,0.7836734693877551
